time,symbol,market_type,open,high,low,close,volume,ret_1,ret_5,rsi_14,atr_14,atr_pct,adx_14,ema_20,ema_50,ema_200,ema_spread_20_50,ema_spread_50_200,macd_hist,bb_pct,target_ret_1,target_ret_5,target_class
2022-03-15,NVDA,stock,21.518,23.038,21.322,22.973,491996000,0.077028,0.067816,47.41,1.43971,0.06267,27.27,23.1879,24.48487,,-0.05297,,-0.030648,,0.066295,0.154573,1
2022-03-16,NVDA,stock,23.5,24.597,23.172,24.496,671422000,0.066295,0.064396,53.67,1.45287,0.05931,25.84,23.31248,24.4853,,-0.047899,,0.133392,,0.011022,0.046457,1
2022-03-17,NVDA,stock,24.12,24.842,23.906,24.766,471941000,0.011022,0.093036,54.7,1.41595,0.05717,24.33,23.45091,24.49631,,-0.042676,,0.25288,,0.068118,0.136639,1
2022-03-18,NVDA,stock,24.799,26.569,24.624,26.453,730719000,0.068118,0.196968,60.59,1.45374,0.05496,23.44,23.73683,24.57305,,-0.03403,,0.428033,,0.010623,0.046838,1
2022-03-21,NVDA,stock,26.507,27.152,25.967,26.734,591727000,0.010623,0.253352,61.48,1.43454,0.05366,22.94,24.02227,24.65779,,-0.025773,,0.538191,,-0.007855,0.055547,1
2022-03-22,NVDA,stock,26.727,27.238,26.072,26.524,547007000,-0.007855,0.154573,60.38,1.41536,0.05336,22.54,24.26053,24.73097,,-0.019022,,0.569275,,-0.033555,0.08038,1
2022-03-23,NVDA,stock,26.126,26.612,25.575,25.634,502120000,-0.033555,0.046457,55.79,1.38834,0.05416,21.74,24.39134,24.76639,,-0.015143,,0.504474,,0.098151,0.080206,1
2022-03-24,NVDA,stock,26.166,28.32,25.907,28.15,877379000,0.098151,0.136639,64.09,1.48103,0.05261,22,24.74931,24.89908,,-0.006015,,0.599185,,-0.01627,-0.030693,-1
2022-03-25,NVDA,stock,27.886,28.358,27.271,27.692,579016000,-0.01627,0.046838,61.82,1.45288,0.05247,22.25,25.02956,25.0086,,0.000838,,0.59775,,0.019031,-0.035389,-1
2022-03-28,NVDA,stock,27.756,28.25,27.206,28.219,425494000,0.019031,0.055547,63.43,1.42368,0.05045,22.43,25.33332,25.1345,,0.00791,,0.597626,,0.015486,-0.03044,-1
2022-03-29,NVDA,stock,28.695,28.946,27.98,28.656,488984000,0.015486,0.08038,64.75,1.39099,0.04854,22.99,25.64976,25.2726,,0.014924,,0.591225,,-0.03371,-0.095094,-1
2022-03-30,NVDA,stock,28.304,28.496,27.503,27.69,463487000,-0.03371,0.080206,59.61,1.37399,0.04962,23.03,25.84407,25.3674,,0.018791,,0.490341,,-0.01459,-0.118563,-1
2022-03-31,NVDA,stock,27.782,28.248,27.27,27.286,523440000,-0.01459,-0.030693,57.55,1.3457,0.04932,22.83,25.9814,25.44264,,0.021176,,0.370273,,-0.021036,-0.112805,-1
2022-04-01,NVDA,stock,27.375,27.496,26.267,26.712,517235000,-0.021036,-0.035389,54.66,1.33737,0.05007,21.72,26.05098,25.49242,,0.021911,,0.232783,,0.024259,-0.134509,-1
2022-04-04,NVDA,stock,26.728,27.558,26.613,27.36,397120000,0.024259,-0.03044,57.27,1.30934,0.04786,20.73,26.17565,25.56566,,0.02386,,0.169035,,-0.05223,-0.19894,-1
2022-04-05,NVDA,stock,27.254,27.319,25.82,25.931,436615000,-0.05223,-0.095094,50.38,1.32582,0.05113,19.38,26.15235,25.57998,,0.022376,,0.021914,,-0.058771,-0.170722,-1
2022-04-06,NVDA,stock,24.934,25.3,24.003,24.407,703833000,-0.058771,-0.118563,44.27,1.36883,0.05608,19.4,25.98613,25.53398,,0.017707,,-0.175864,,-0.008153,-0.090302,-1
2022-04-07,NVDA,stock,24.441,24.722,23.478,24.208,557992000,-0.008153,-0.112805,43.52,1.35991,0.05618,19.73,25.81678,25.48198,,0.013139,,-0.310065,,-0.044985,-0.121861,-1
2022-04-08,NVDA,stock,23.917,23.923,23.062,23.119,524781000,-0.044985,-0.134509,39.61,1.34463,0.05816,20.27,25.55985,25.38932,,0.006717,,-0.453474,,-0.051992,-0.057788,-1
2022-04-11,NVDA,stock,22.214,22.32,21.66,21.917,575207000,-0.051992,-0.19894,35.78,1.3528,0.06172,21.48,25.21291,25.25315,,-0.001593,,-0.601314,,-0.018844,0.012821,1
2022-04-12,NVDA,stock,22.537,22.725,21.282,21.504,662258000,-0.018844,-0.170722,34.54,1.35924,0.06321,22.2,24.85968,25.10612,,-0.009816,,-0.692459,,0.032506,-0.001023,0
2022-04-13,NVDA,stock,21.728,22.5,21.455,22.203,516943000,0.032506,-0.090302,38.42,1.3368,0.06021,22.88,24.60666,24.99228,,-0.015429,,-0.670747,,-0.042562,-0.090979,-1
2022-04-14,NVDA,stock,22.505,22.777,21.163,21.258,569097000,-0.042562,-0.121861,35.37,1.3566,0.06382,23.66,24.28774,24.84583,,-0.022462,,-0.682824,,0.024697,-0.081993,-1
2022-04-18,NVDA,stock,21.2,22.088,21.079,21.783,525701000,0.024697,-0.057788,38.3,1.33177,0.06114,24.44,24.0492,24.72572,,-0.027361,,-0.620078,,0.019052,-0.086352,-1
2022-04-19,NVDA,stock,21.72,22.373,21.314,22.198,512781000,0.019052,0.012821,40.59,1.31229,0.05912,24.82,23.87289,24.6266,,-0.030605,,-0.51933,,-0.032255,-0.153617,-1
2022-04-20,NVDA,stock,22.517,22.67,21.2,21.482,468974000,-0.032255,-0.001023,37.97,1.32355,0.06161,24.82,23.64519,24.50328,,-0.035019,,-0.471039,,-0.060469,-0.142771,-1
2022-04-21,NVDA,stock,21.709,22.392,20,20.183,656209000,-0.060469,-0.090979,33.72,1.39987,0.06936,25.58,23.31546,24.33386,,-0.041851,,-0.49429,,-0.033097,-0.019868,-1
2022-04-22,NVDA,stock,20.303,20.486,19.5,19.515,624713000,-0.033097,-0.081993,31.75,1.37031,0.07022,26.57,22.95351,24.14488,,-0.049343,,-0.519769,,0.019831,-0.049603,-1
2022-04-25,NVDA,stock,19.202,19.945,19.096,19.902,641566000,0.019831,-0.086352,34.15,1.33307,0.06698,27.71,22.66289,23.97849,,-0.054866,,-0.476795,,-0.055974,-0.018541,-1
2022-04-26,NVDA,stock,19.718,19.788,18.67,18.788,653143000,-0.055974,-0.153617,30.79,1.32585,0.07057,28.99,22.29385,23.77494,,-0.062296,,-0.487873,,-0.019853,0.043326,1
2022-04-27,NVDA,stock,18.598,19.167,18.29,18.415,499460000,-0.019853,-0.142771,29.74,1.29379,0.07026,30.36,21.92444,23.56475,,-0.069609,,-0.483849,,0.074233,0.104209,1
2022-04-28,NVDA,stock,18.967,20.037,18.49,19.782,570327000,0.074233,-0.019868,38.1,1.31723,0.06659,30.5,21.72039,23.41641,,-0.072428,,-0.358424,,-0.06243,-0.047417,-1
2022-04-29,NVDA,stock,19.402,20.128,18.517,18.547,500435000,-0.06243,-0.049603,34.15,1.33822,0.07215,30.51,21.41817,23.22545,,-0.077815,,-0.328718,,0.053162,0.006901,0
2022-05-02,NVDA,stock,18.541,19.574,18.391,19.533,572049000,0.053162,-0.018541,39.54,1.32713,0.06794,30.6,21.23863,23.08065,,-0.079808,,-0.218077,,0.003532,-0.132238,-1
2022-05-03,NVDA,stock,19.4,19.825,19.133,19.602,475751000,0.003532,0.043326,39.91,1.28176,0.06539,30.35,21.08276,22.94423,,-0.08113,,-0.120531,,0.037343,-0.102388,-1
2022-05-04,NVDA,stock,19.923,20.4,18.751,20.334,648855000,0.037343,0.104209,43.85,1.308,0.06433,29.37,21.01145,22.84187,,-0.080134,,0.006279,,-0.073276,-0.182158,-1
2022-05-05,NVDA,stock,19.867,19.925,18.5,18.844,626331000,-0.073276,-0.047417,38.34,1.34557,0.07141,28.68,20.80502,22.68509,,-0.082877,,0.002968,,-0.008968,-0.141637,-1
2022-05-06,NVDA,stock,18.736,19.512,17.99,18.675,633297000,-0.008968,0.006901,37.76,1.35817,0.07273,28.47,20.60216,22.52783,,-0.085479,,0.002568,,-0.092369,-0.051888,-1
2022-05-09,NVDA,stock,18.034,18.255,16.827,16.95,644455000,-0.092369,-0.132238,32.39,1.39316,0.08219,29.11,20.25434,22.30909,,-0.092104,,-0.095292,,0.038053,0.018525,1
2022-05-10,NVDA,stock,17.689,18.198,17.025,17.595,761474000,0.038053,-0.102388,36.05,1.38279,0.07859,29.7,20.00107,22.12423,,-0.095965,,-0.097642,,-0.054845,0.033078,1
2022-05-11,NVDA,stock,17.347,17.753,16.568,16.63,670167000,-0.054845,-0.182158,33.16,1.36866,0.0823,30.54,19.68001,21.90877,,-0.101729,,-0.142531,,-0.02736,0.018521,1
2022-05-12,NVDA,stock,16.219,16.788,15.567,16.175,708728000,-0.02736,-0.141637,31.86,1.35811,0.08396,31.89,19.3462,21.68391,,-0.107808,,-0.178856,,0.094652,0.058671,1
2022-05-13,NVDA,stock,16.788,17.928,16.593,17.706,670437000,0.094652,-0.051888,40.33,1.38632,0.0783,31.63,19.18999,21.52792,,-0.1086,,-0.08076,,-0.024963,-0.057156,-1
2022-05-16,NVDA,stock,17.509,17.788,17.106,17.264,521446000,-0.024963,0.018525,38.83,1.33601,0.07739,31.38,19.00657,21.3607,,-0.110209,,-0.029282,,0.052885,-0.0212,-1
2022-05-17,NVDA,stock,18.074,18.371,17.634,18.177,585830000,0.052885,0.033078,43.51,1.31965,0.0726,30.44,18.92756,21.23585,,-0.108698,,0.076818,,-0.068163,-0.111294,-1
2022-05-18,NVDA,stock,17.705,18.118,16.864,16.938,545161000,-0.068163,0.018521,39.13,1.31918,0.07788,30.14,18.73808,21.06731,,-0.110561,,0.074081,,0.010981,0.002184,0
2022-05-19,NVDA,stock,16.937,17.687,16.734,17.124,621310000,0.010981,0.058671,40.11,1.29302,0.07551,29.96,18.58436,20.91267,,-0.111335,,0.094042,,-0.025111,0.042455,1
2022-05-20,NVDA,stock,17.332,17.41,15.755,16.694,739105000,-0.025111,-0.057156,38.57,1.31888,0.079,30.45,18.40432,20.74723,,-0.112926,,0.087658,,0.01222,0.126812,1
2022-05-23,NVDA,stock,16.274,16.915,16.179,16.898,639889000,0.01222,-0.0212,39.75,1.27724,0.07559,30.9,18.26086,20.59628,,-0.11339,,0.105356,,-0.044029,0.104983,1
2022-05-24,NVDA,stock,16.51,16.597,15.78,16.154,588550000,-0.044029,-0.111294,36.96,1.26587,0.07836,31.58,18.06021,20.42207,,-0.115653,,0.076481,,0.050823,0.134084,1
2022-05-25,NVDA,stock,16.02,17.111,16,16.975,781132000,0.050823,0.002184,41.81,1.25481,0.07392,31.48,17.95686,20.2869,,-0.114854,,0.119629,,0.051605,0.154168,1
2022-05-26,NVDA,stock,16.036,18.092,16.022,17.851,996575000,0.051605,0.042455,46.54,1.31304,0.07356,30.18,17.94677,20.19137,,-0.111166,,0.208895,,0.053778,0.048681,1
