time,symbol,market_type,open,high,low,close,volume,ret_1,ret_5,rsi_14,atr_14,atr_pct,adx_14,ema_20,ema_50,ema_200,ema_spread_20_50,ema_spread_50_200,macd_hist,bb_pct,target_ret_1,target_ret_5,target_class
2021-11-05,EURUSD=X,forex,1.1557,1.1565,1.1514,1.1555,0,-0.005251,-0.011041,41.65,0.00691,0.00598,25.32,1.16129,,,,,0.000575,,0.001212,-0.009,0
2021-11-08,EURUSD=X,forex,1.1568,1.1596,1.1552,1.1569,0,0.001212,0.001038,43.41,0.00673,0.00582,23.88,1.16087,,,,,0.000436,,0.001988,-0.010978,-1
2021-11-09,EURUSD=X,forex,1.1589,1.1609,1.157,1.1592,0,0.001988,-0.00069,46.29,0.00654,0.00564,22.22,1.16071,,,,,0.000504,,0.000345,-0.019496,-1
2021-11-10,EURUSD=X,forex,1.1594,1.1598,1.1513,1.1596,0,0.000345,0.001468,46.8,0.00668,0.00576,21.89,1.1606,,,,,0.000575,,-0.009486,-0.023715,-1
2021-11-11,EURUSD=X,forex,1.1486,1.1492,1.1455,1.1486,0,-0.009486,-0.011191,36.58,0.00721,0.00627,22.51,1.15946,,,,,-0.000084,,-0.003047,-0.014365,-1
2021-11-12,EURUSD=X,forex,1.1448,1.146,1.1434,1.1451,0,-0.003047,-0.009,34.04,0.00706,0.00617,23.37,1.15809,,,,,-0.000688,,-0.000786,-0.007248,0
2021-11-15,EURUSD=X,forex,1.1442,1.1464,1.1417,1.1442,0,-0.000786,-0.010978,33.39,0.00689,0.00603,24.4,1.15677,,,,,-0.001058,,-0.006642,-0.014508,-1
2021-11-16,EURUSD=X,forex,1.1367,1.1387,1.1331,1.1366,0,-0.006642,-0.019496,28.49,0.00719,0.00633,26.27,1.15485,1.16369,,-0.007599,,-0.001687,,-0.003959,-0.01091,-1
2021-11-17,EURUSD=X,forex,1.1316,1.1334,1.1271,1.1321,0,-0.003959,-0.023715,26.06,0.00736,0.0065,28.49,1.15268,1.16245,,-0.008405,,-0.002244,,0,-0.006713,0
2021-11-18,EURUSD=X,forex,1.1318,1.136,1.1315,1.1321,0,0,-0.014365,26.06,0.00716,0.00632,29.88,1.15072,1.16126,,-0.009076,,-0.002433,,0.004152,-0.010423,-1
2021-11-19,EURUSD=X,forex,1.137,1.137,1.1252,1.1368,0,0.004152,-0.007248,33,0.00749,0.00659,31.68,1.1494,1.1603,,-0.0094,,-0.002078,,-0.008093,-0.013899,-1
2021-11-22,EURUSD=X,forex,1.1276,1.1291,1.1238,1.1276,0,-0.008093,-0.014508,27.55,0.00788,0.00699,33.44,1.14732,1.15902,,-0.010095,,-0.002282,,-0.003015,0.001508,0
2021-11-23,EURUSD=X,forex,1.1244,1.1273,1.1227,1.1242,0,-0.003015,-0.01091,25.85,0.00767,0.00682,35.16,1.14512,1.15766,,-0.010829,,-0.00245,,0.000267,0.004537,0
2021-11-24,EURUSD=X,forex,1.1244,1.1255,1.1188,1.1245,0,0.000267,-0.006713,26.28,0.0076,0.00676,37.02,1.14316,1.15636,,-0.011415,,-0.002346,,-0.003735,0.007559,0
2021-11-25,EURUSD=X,forex,1.1207,1.1231,1.1204,1.1203,0,-0.003735,-0.010423,24.16,0.00735,0.00656,38.75,1.14098,1.15494,,-0.01209,,-0.002357,,0.000625,0.010444,1
2021-11-26,EURUSD=X,forex,1.1209,1.1322,1.1208,1.121,0,0.000625,-0.013899,25.24,0.00767,0.00685,38.12,1.13908,1.15361,,-0.012599,,-0.002123,,0.007404,0.008564,0
2021-11-29,EURUSD=X,forex,1.1291,1.1298,1.1259,1.1293,0,0.007404,0.001508,36.78,0.00775,0.00687,37.54,1.13814,1.15266,,-0.01259,,-0.001258,,0,0.001063,0
2021-11-30,EURUSD=X,forex,1.1294,1.1382,1.1246,1.1293,0,0,0.004537,36.78,0.00817,0.00724,35.4,1.1373,1.15174,,-0.012536,,-0.000568,,0.003276,-0.000531,0
