time,symbol,market_type,open,high,low,close,volume,ret_1,ret_5,rsi_14,atr_14,atr_pct,adx_14,ema_20,ema_50,ema_200,ema_spread_20_50,ema_spread_50_200,macd_hist,bb_pct,target_ret_1,target_ret_5,target_class
2026-08-14 02:55:00,EURUSD=X,forex,1.15294,1.15294,1.1528,1.15286,159,0,0,,,,,,,,,,,,-0.000078,-0.000208,0
2026-08-14 03:00:00,EURUSD=X,forex,1.15285,1.15306,1.15272,1.15277,203,-0.000078,0,,,,,,,,,,,,-0.000069,-0.000191,0
2026-08-14 03:05:00,EURUSD=X,forex,1.15278,1.15285,1.15266,1.15269,186,-0.000069,0,,,,,,,,,,,,-0.000017,-0.000069,0
2026-08-14 03:10:00,EURUSD=X,forex,1.1527,1.15286,1.15267,1.15267,136,-0.000017,0,,,,,,,,,,,,-0.000026,0.000121,0
2026-08-14 03:15:00,EURUSD=X,forex,1.15268,1.15282,1.1526399999999999,1.1526399999999999,94,-0.000026,0,,,,,,,,,,,,-0.000017,0.000182,0
2026-08-14 03:20:00,EURUSD=X,forex,1.15263,1.15272,1.1526,1.15262,88,-0.000017,-0.000208,,,,,,,,,,,,-0.000061,0.00013,0
2026-08-14 03:25:00,EURUSD=X,forex,1.15263,1.15266,1.15248,1.15255,140,-0.000061,-0.000191,,,,,,,,,,,,0.000052,0.0002,0
2026-08-14 03:30:00,EURUSD=X,forex,1.15256,1.15265,1.15252,1.15261,151,0.000052,-0.000069,,,,,,,,,,,,0.000174,0.000078,0
2026-08-14 03:35:00,EURUSD=X,forex,1.1526,1.15282,1.15259,1.1528100000000001,121,0.000174,0.000121,,,,,,,,,,,,0.000035,-0.000156,0
2026-08-14 03:40:00,EURUSD=X,forex,1.1528,1.15285,1.15272,1.15285,85,0.000035,0.000182,,,,,,,,,,,,-0.000069,-0.000113,0
2026-08-14 03:45:00,EURUSD=X,forex,1.15284,1.15284,1.15271,1.15277,87,-0.000069,0.00013,,,,,,,,,,,,0.000009,0.000243,0
