lookback_hours,lookback_bars,tp_atr_mult,tp_swing_fraction,sl_atr_mult,sl_swing_fraction,min_tp_major,min_sl_major,min_tp_jpy,min_sl_jpy,val_trades,val_wins,val_losses,val_win_rate,val_net_pips,val_expectancy_pips,val_profit_factor,val_max_drawdown_pips,val_score,val_avg_tp_pips,val_avg_sl_pips,val_tp_hits,val_sl_hits,val_timeouts,test_trades,test_wins,test_losses,test_win_rate,test_net_pips,test_expectancy_pips,test_profit_factor,test_max_drawdown_pips,test_score,test_avg_tp_pips,test_avg_sl_pips,test_tp_hits,test_sl_hits,test_timeouts
5,60,1.5,0.55,0.8,0.15,10,12,38,20,41,26,15,63.41463414634146,939.0950000000049,22.904756097561094,4.964684524940429,51.999999999998636,913.0950000000056,54.610487804878176,19.376829268292706,18,11,12,58,20,38,34.48275862068966,74.66500000001736,1.2873275862071958,1.1196276506260872,182.72499999999354,-16.697499999979414,50.41948275862067,19.48991379310344,10,27,21
5,60,1.5,0.55,1.0,0.15,10,12,38,20,41,26,15,63.41463414634146,939.0950000000049,22.904756097561094,4.964684524940429,51.999999999998636,913.0950000000056,54.610487804878176,19.376829268292706,18,11,12,58,20,38,34.48275862068966,74.66500000001736,1.2873275862071958,1.1196276506260872,182.72499999999354,-16.697499999979414,50.41948275862067,19.48991379310344,10,27,21
5,60,1.5,0.55,1.2,0.15,10,12,38,20,41,26,15,63.41463414634146,939.0950000000049,22.904756097561094,4.964684524940429,51.999999999998636,913.0950000000056,54.610487804878176,19.376829268292706,18,11,12,58,20,38,34.48275862068966,71.01900000001683,1.2244655172416694,1.1131252279819535,186.37099999999407,-22.166499999980203,50.41948275862067,19.598241379310334,10,27,21
5,60,1.8,0.55,0.8,0.15,10,12,38,20,41,26,15,63.41463414634146,939.0950000000049,22.904756097561094,4.964684524940429,51.999999999998636,913.0950000000056,54.610487804878176,19.376829268292706,18,11,12,58,20,38,34.48275862068966,74.66500000001736,1.2873275862071958,1.1196276506260872,182.72499999999354,-16.697499999979414,50.41948275862067,19.48991379310344,10,27,21
5,60,1.8,0.55,1.0,0.15,10,12,38,20,41,26,15,63.41463414634146,939.0950000000049,22.904756097561094,4.964684524940429,51.999999999998636,913.0950000000056,54.610487804878176,19.376829268292706,18,11,12,58,20,38,34.48275862068966,74.66500000001736,1.2873275862071958,1.1196276506260872,182.72499999999354,-16.697499999979414,50.41948275862067,19.48991379310344,10,27,21
5,60,1.8,0.55,1.2,0.15,10,12,38,20,41,26,15,63.41463414634146,939.0950000000049,22.904756097561094,4.964684524940429,51.999999999998636,913.0950000000056,54.610487804878176,19.376829268292706,18,11,12,58,20,38,34.48275862068966,71.01900000001683,1.2244655172416694,1.1131252279819535,186.37099999999407,-22.166499999980203,50.41948275862067,19.598241379310334,10,27,21
5,60,1.5,0.55,0.8,0.15,14,12,38,20,41,26,15,63.41463414634146,937.5300000000061,22.86658536585381,4.958077385852767,51.999999999998636,911.5300000000068,55.309756097561106,19.376829268292706,17,11,13,58,20,38,34.48275862068966,79.08000000001607,1.363448275862346,1.1267013274159339,182.72499999999354,-12.2824999999807,51.00655172413788,19.48991379310344,10,27,21
5,60,1.5,0.55,1.0,0.15,14,12,38,20,41,26,15,63.41463414634146,937.5300000000061,22.86658536585381,4.958077385852767,51.999999999998636,911.5300000000068,55.309756097561106,19.376829268292706,17,11,13,58,20,38,34.48275862068966,79.08000000001607,1.363448275862346,1.1267013274159339,182.72499999999354,-12.2824999999807,51.00655172413788,19.48991379310344,10,27,21
5,60,1.5,0.55,1.2,0.15,14,12,38,20,41,26,15,63.41463414634146,937.5300000000061,22.86658536585381,4.958077385852767,51.999999999998636,911.5300000000068,55.309756097561106,19.376829268292706,17,11,13,58,20,38,34.48275862068966,75.43400000001554,1.3005862068968197,1.1201578232246359,186.37099999999407,-17.75149999998149,51.00655172413788,19.598241379310334,10,27,21
5,60,1.8,0.55,0.8,0.15,14,12,38,20,41,26,15,63.41463414634146,937.5300000000061,22.86658536585381,4.958077385852767,51.999999999998636,911.5300000000068,55.309756097561106,19.376829268292706,17,11,13,58,20,38,34.48275862068966,79.08000000001607,1.363448275862346,1.1267013274159339,182.72499999999354,-12.2824999999807,51.00655172413788,19.48991379310344,10,27,21
5,60,1.8,0.55,1.0,0.15,14,12,38,20,41,26,15,63.41463414634146,937.5300000000061,22.86658536585381,4.958077385852767,51.999999999998636,911.5300000000068,55.309756097561106,19.376829268292706,17,11,13,58,20,38,34.48275862068966,79.08000000001607,1.363448275862346,1.1267013274159339,182.72499999999354,-12.2824999999807,51.00655172413788,19.48991379310344,10,27,21
5,60,1.8,0.55,1.2,0.15,14,12,38,20,41,26,15,63.41463414634146,937.5300000000061,22.86658536585381,4.958077385852767,51.999999999998636,911.5300000000068,55.309756097561106,19.376829268292706,17,11,13,58,20,38,34.48275862068966,75.43400000001554,1.3005862068968197,1.1201578232246359,186.37099999999407,-17.75149999998149,51.00655172413788,19.598241379310334,10,27,21
5,60,1.5,0.55,0.8,0.15,22,12,38,20,40,25,15,62.5,930.0900000000042,23.252250000000107,4.926667088848135,51.999999999998636,904.0900000000049,57.99550000000016,19.561250000000022,15,11,14,58,20,38,34.48275862068966,95.08000000001658,1.639310344827872,1.1523363961900182,182.72499999999354,3.717500000019811,52.76749999999997,19.48991379310344,10,27,21
5,60,1.5,0.55,1.0,0.15,22,12,38,20,40,25,15,62.5,930.0900000000042,23.252250000000107,4.926667088848135,51.999999999998636,904.0900000000049,57.99550000000016,19.561250000000022,15,11,14,58,20,38,34.48275862068966,95.08000000001658,1.639310344827872,1.1523363961900182,182.72499999999354,3.717500000019811,52.76749999999997,19.48991379310344,10,27,21
5,60,1.5,0.55,1.2,0.15,22,12,38,20,40,25,15,62.5,930.0900000000042,23.252250000000107,4.926667088848135,51.999999999998636,904.0900000000049,57.99550000000016,19.561250000000022,15,11,14,58,20,38,34.48275862068966,91.43400000001606,1.5764482758623457,1.1456440120995972,186.37099999999407,-1.7514999999809788,52.76749999999997,19.598241379310334,10,27,21
5,60,1.8,0.55,0.8,0.15,22,12,38,20,40,25,15,62.5,930.0900000000042,23.252250000000107,4.926667088848135,51.999999999998636,904.0900000000049,57.99550000000016,19.561250000000022,15,11,14,58,20,38,34.48275862068966,95.08000000001658,1.639310344827872,1.1523363961900182,182.72499999999354,3.717500000019811,52.76749999999997,19.48991379310344,10,27,21
5,60,1.8,0.55,1.0,0.15,22,12,38,20,40,25,15,62.5,930.0900000000042,23.252250000000107,4.926667088848135,51.999999999998636,904.0900000000049,57.99550000000016,19.561250000000022,15,11,14,58,20,38,34.48275862068966,95.08000000001658,1.639310344827872,1.1523363961900182,182.72499999999354,3.717500000019811,52.76749999999997,19.48991379310344,10,27,21
5,60,1.8,0.55,1.2,0.15,22,12,38,20,40,25,15,62.5,930.0900000000042,23.252250000000107,4.926667088848135,51.999999999998636,904.0900000000049,57.99550000000016,19.561250000000022,15,11,14,58,20,38,34.48275862068966,91.43400000001606,1.5764482758623457,1.1456440120995972,186.37099999999407,-1.7514999999809788,52.76749999999997,19.598241379310334,10,27,21
5,60,1.5,0.55,0.8,0.15,18,12,38,20,40,25,15,62.5,929.3900000000062,23.234750000000155,4.923711818968677,51.999999999998636,903.3900000000069,56.99550000000016,19.561250000000022,16,11,13,58,20,38,34.48275862068966,87.08000000001744,1.5013793103451283,1.139518861802978,182.72499999999354,-4.282499999979336,51.870948275862034,19.48991379310344,10,27,21
5,60,1.5,0.55,1.0,0.15,18,12,38,20,40,25,15,62.5,929.3900000000062,23.234750000000155,4.923711818968677,51.999999999998636,903.3900000000069,56.99550000000016,19.561250000000022,16,11,13,58,20,38,34.48275862068966,87.08000000001744,1.5013793103451283,1.139518861802978,182.72499999999354,-4.282499999979336,51.870948275862034,19.48991379310344,10,27,21
5,60,1.5,0.55,1.2,0.15,18,12,38,20,40,25,15,62.5,929.3900000000062,23.234750000000155,4.923711818968677,51.999999999998636,903.3900000000069,56.99550000000016,19.561250000000022,16,11,13,58,20,38,34.48275862068966,83.43400000001691,1.438517241379602,1.1329009176621183,186.37099999999407,-9.751499999980126,51.870948275862034,19.598241379310334,10,27,21
5,60,1.8,0.55,0.8,0.15,18,12,38,20,40,25,15,62.5,929.3900000000062,23.234750000000155,4.923711818968677,51.999999999998636,903.3900000000069,56.99550000000016,19.561250000000022,16,11,13,58,20,38,34.48275862068966,87.08000000001744,1.5013793103451283,1.139518861802978,182.72499999999354,-4.282499999979336,51.870948275862034,19.48991379310344,10,27,21
5,60,1.8,0.55,1.0,0.15,18,12,38,20,40,25,15,62.5,929.3900000000062,23.234750000000155,4.923711818968677,51.999999999998636,903.3900000000069,56.99550000000016,19.561250000000022,16,11,13,58,20,38,34.48275862068966,87.08000000001744,1.5013793103451283,1.139518861802978,182.72499999999354,-4.282499999979336,51.870948275862034,19.48991379310344,10,27,21
5,60,1.8,0.55,1.2,0.15,18,12,38,20,40,25,15,62.5,929.3900000000062,23.234750000000155,4.923711818968677,51.999999999998636,903.3900000000069,56.99550000000016,19.561250000000022,16,11,13,58,20,38,34.48275862068966,83.43400000001691,1.438517241379602,1.1329009176621183,186.37099999999407,-9.751499999980126,51.870948275862034,19.598241379310334,10,27,21
